GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP1_Exo4_JaCoCo,org.example,Livre,50,308,21,51,12,70,22,32,1,17
TP1_Exo4_JaCoCo,org.example,Bibliotheque,0,94,0,12,0,24,0,15,0,9
